:START_ID(Flight),:END_ID(Airport),:TYPE
FL00735,SEA,ARRIVES_AT
FL00736,MSP,ARRIVES_AT
FL00737,ATL,ARRIVES_AT
FL00738,PHX,ARRIVES_AT
FL00739,ATL,ARRIVES_AT
FL00740,MIA,ARRIVES_AT
FL00741,BOS,ARRIVES_AT
FL00742,DEN,ARRIVES_AT
FL00743,SEA,ARRIVES_AT
FL00744,JFK,ARRIVES_AT
FL00745,DFW,ARRIVES_AT
FL00746,MIA,ARRIVES_AT
FL00747,DEN,ARRIVES_AT
FL00748,ORD,ARRIVES_AT
FL00749,ORD,ARRIVES_AT
FL00750,PHX,ARRIVES_AT
FL00751,SFO,ARRIVES_AT
FL00752,MIA,ARRIVES_AT
FL00753,MSP,ARRIVES_AT
FL00754,PHX,ARRIVES_AT
FL00755,SEA,ARRIVES_AT
FL00756,ATL,ARRIVES_AT
FL00757,SFO,ARRIVES_AT
FL00758,MIA,ARRIVES_AT
FL00759,DEN,ARRIVES_AT
FL00760,ORD,ARRIVES_AT
FL00761,PHX,ARRIVES_AT
FL00762,SFO,ARRIVES_AT
FL00763,DFW,ARRIVES_AT
FL00764,ATL,ARRIVES_AT
FL00765,BOS,ARRIVES_AT
FL00766,LAX,ARRIVES_AT
FL00767,MSP,ARRIVES_AT
FL00768,BOS,ARRIVES_AT
FL00769,DEN,ARRIVES_AT
FL00770,MSP,ARRIVES_AT
FL00771,SFO,ARRIVES_AT
FL00772,PHX,ARRIVES_AT
FL00773,PHX,ARRIVES_AT
FL00774,SFO,ARRIVES_AT
FL00775,ORD,ARRIVES_AT
FL00776,BOS,ARRIVES_AT
FL00777,SEA,ARRIVES_AT
FL00778,SEA,ARRIVES_AT
FL00779,DEN,ARRIVES_AT
FL00780,BOS,ARRIVES_AT
FL00781,SEA,ARRIVES_AT
FL00782,LAX,ARRIVES_AT
FL00783,DEN,ARRIVES_AT
FL00784,BOS,ARRIVES_AT
FL00785,DEN,ARRIVES_AT
FL00786,SFO,ARRIVES_AT
FL00787,BOS,ARRIVES_AT
FL00788,SFO,ARRIVES_AT
FL00789,SFO,ARRIVES_AT
FL00790,DEN,ARRIVES_AT
FL00791,DEN,ARRIVES_AT
FL00792,LAX,ARRIVES_AT
FL00793,MSP,ARRIVES_AT
FL00794,MIA,ARRIVES_AT
FL00795,DFW,ARRIVES_AT
FL00796,BOS,ARRIVES_AT
FL00797,MSP,ARRIVES_AT
FL00798,BOS,ARRIVES_AT
FL00799,SEA,ARRIVES_AT
FL00800,SFO,ARRIVES_AT
